endTime,artistName,trackName,msPlayed
2022-03-23 19:35,Ollie,Better With You,52479
2022-03-23 19:35,LANY,Malibu Nights,50271
2022-03-23 19:37,Shawn Mendes,Fallin' All In You,93297
2022-03-23 19:38,John K,if we never met,32083
2022-03-23 19:39,Niall Horan,This Town,4960
2022-03-23 19:39,Taylor Swift,Lover,1517
2022-03-23 19:39,ZAYN,fOoL fOr YoU,68009
2022-03-23 19:39,Bruno Mars,Count on Me,4172
2022-03-23 19:42,Stephanie Poetri,I Love You 3000,55489
2022-03-24 11:09,Justin Timberlake,Mirrors,47120
2022-03-30 21:03,Stephen Sanchez,Until I Found You,43154
2022-03-31 11:46,One Direction,18,248360
2022-03-31 11:51,Justin Bieber,Intentions,98708
2022-03-31 11:53,Justin Bieber,Intentions,115133
2022-03-31 11:56,Ryn Weaver,Pierre,202733
2022-03-31 12:00,The Chainsmokers,Something Just Like This,247160
2022-03-31 12:03,Ariana Grande,needy,171573
2022-03-31 12:07,Bruno Mars,Just the Way You Are,220734
2022-03-31 12:12,Hailee Steinfeld,Capital Letters,206326
2022-03-31 12:14,Billie Eilish,wish you were gay,910
2022-03-31 12:14,Hailee Steinfeld,Capital Letters,268
2022-03-31 12:14,Backstreet Boys,I Want It That Way,1239
2022-03-31 12:17,Justin Bieber,Holy (feat. Chance The Rapper),212093
2022-03-31 12:20,Harry Styles,Watermelon Sugar,142901
2022-03-31 12:20,Fifth Harmony,Worth It,4620
2022-03-31 12:23,Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,207904
2022-03-31 12:26,Jeremy Zucker,comethru,181613
2022-03-31 12:29,Michele Morrone,Hard For Me,177946
2022-03-31 12:34,Doja Cat,Boss Bitch,91600
2022-04-02 05:50,Taylor Swift,Lover,61648
2022-04-02 05:54,Conan Gray,Heather,52215
2022-04-02 05:58,Conan Gray,Heather,146042
2022-04-02 06:02,The Chainsmokers,Hope,173742
2022-04-02 06:02,The Chainsmokers,Hope,6620
2022-04-02 06:06,ZAYN,PILLOWTALK,202746
2022-04-02 06:09,Selena Gomez,Bad Liar,214647
2022-04-02 06:13,Ali Gatie,What If I Told You That I Love You,193667
2022-04-02 06:15,Lil Nas X,Old Town Road - Remix,157066
2022-04-02 06:19,Taylor Swift,Out Of The Woods,235800
2022-04-02 06:22,Ariana Grande,34+35,173710
2022-04-02 06:25,DJ Khaled,POPSTAR (feat. Drake),200221
