,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
Nazm Nazm___Arko,0.62,0.627,7,-6.187,1,0.0307,0.497,0,0.133,0.557,82.008,audio_features,1We89SAonMk70QBbfXERxa,spotify:track:1We89SAonMk70QBbfXERxa,https://api.spotify.com/v1/tracks/1We89SAonMk70QBbfXERxa,https://api.spotify.com/v1/audio-analysis/1We89SAonMk70QBbfXERxa,226941,4,Bareilly Ki Barfi,1P8eifMN4WiKEXtptCBwJQ
STRUT___EMELINE,0.842,0.715,11,-5.906,0,0.0696,0.0419,2.58e-05,0.112,0.326,107.952,audio_features,749rod7GCmj0OVdumGfzVq,spotify:track:749rod7GCmj0OVdumGfzVq,https://api.spotify.com/v1/tracks/749rod7GCmj0OVdumGfzVq,https://api.spotify.com/v1/audio-analysis/749rod7GCmj0OVdumGfzVq,117727,3,STRUT,2lkTWzi2FinjN6JIwP5u0y
Aise Kyun___Anurag Saikia,0.528,0.435,5,-9.699,1,0.0347,0.705,2.98e-05,0.103,0.293,172.115,audio_features,2sT0eosuhBEkw8dz6qFxUo,spotify:track:2sT0eosuhBEkw8dz6qFxUo,https://api.spotify.com/v1/tracks/2sT0eosuhBEkw8dz6qFxUo,https://api.spotify.com/v1/audio-analysis/2sT0eosuhBEkw8dz6qFxUo,264934,4,Mismatched: Season 1 (Music from the Netflix Original Series),4UBpXkgzFj39NOcdfuQpxt
Arcade___Duncan Laurence,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,audio_features,1Xi84slp6FryDSCbzq4UCD,spotify:track:1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/tracks/1Xi84slp6FryDSCbzq4UCD,https://api.spotify.com/v1/audio-analysis/1Xi84slp6FryDSCbzq4UCD,183624,3,Arcade,7BISGeB7QwhqRIadxuLHfG
Princesses Don't Cry___CARYS,0.626,0.595,0,-4.975,0,0.0288,0.285,0,0.0858,0.65,74.985,audio_features,07squf0xpI7hHUwZ4hezKP,spotify:track:07squf0xpI7hHUwZ4hezKP,https://api.spotify.com/v1/tracks/07squf0xpI7hHUwZ4hezKP,https://api.spotify.com/v1/audio-analysis/07squf0xpI7hHUwZ4hezKP,212107,4,Princesses Don't Cry,53HjlXiuUnA6Cclt1B8xwY
Perfectly Wrong___Shawn Mendes,0.361,0.311,2,-11.748,0,0.0369,0.872,0,0.0987,0.323,89.362,audio_features,6nat4Z7iRKWVk1qngQqI0Q,spotify:track:6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/tracks/6nat4Z7iRKWVk1qngQqI0Q,https://api.spotify.com/v1/audio-analysis/6nat4Z7iRKWVk1qngQqI0Q,212773,4,Shawn Mendes,2VP96XdMOKTXefI8Nui23s
Wakanda Forever___Ludwig Göransson,0.194,0.307,0,-13.782,0,0.0407,0.132,0.983,0.13,0.0652,128.883,audio_features,292qRD1CJzIgjCHjF7QZLT,spotify:track:292qRD1CJzIgjCHjF7QZLT,https://api.spotify.com/v1/tracks/292qRD1CJzIgjCHjF7QZLT,https://api.spotify.com/v1/audio-analysis/292qRD1CJzIgjCHjF7QZLT,154643,3,Black Panther: Wakanda Forever (Original Score),2lPz7qiqG7TfvKr3S1Lv6p
One Kiss (with Dua Lipa)___Calvin Harris,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581
Night Changes___One Direction,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4,FOUR (Deluxe),4gCNyS7pidfK3rKWhB3JOY
Aaoge Tum Kabhi___The Local Train,0.534,0.863,0,-4.616,1,0.0357,0.0152,0.0167,0.144,0.374,98.006,audio_features,5VSJ9OfZx8V91A7u8Fuoh1,spotify:track:5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/tracks/5VSJ9OfZx8V91A7u8Fuoh1,https://api.spotify.com/v1/audio-analysis/5VSJ9OfZx8V91A7u8Fuoh1,313163,4,Aalas Ka Pedh,4U2xdJPJfGo2HofVpSynwO
Raining in London___Anthony de la Torre,0.418,0.404,3,-9.632,1,0.111,0.0926,0,0.25,0.426,119.488,audio_features,5WDw9ovU0GeQwFHGvzWtrN,spotify:track:5WDw9ovU0GeQwFHGvzWtrN,https://api.spotify.com/v1/tracks/5WDw9ovU0GeQwFHGvzWtrN,https://api.spotify.com/v1/audio-analysis/5WDw9ovU0GeQwFHGvzWtrN,247341,4,Find Me,3oZiUpNmVmBOxlawZvz0am
barcelona___Jonah Kagen,0.74,0.752,11,-6.525,0,0.0616,0.496,0,0.551,0.859,136.003,audio_features,5GZCGrWa6fXwcssIaYfVjk,spotify:track:5GZCGrWa6fXwcssIaYfVjk,https://api.spotify.com/v1/tracks/5GZCGrWa6fXwcssIaYfVjk,https://api.spotify.com/v1/audio-analysis/5GZCGrWa6fXwcssIaYfVjk,175223,4,barcelona,2JmYpDJ7VKacfW1bwAJbqU
"Chrissy, Wake Up___The Gregory Brothers",0.839,0.765,2,-5.603,1,0.0851,0.16,0,0.1,0.656,119.917,audio_features,6W3lwoUqT9FzP3FhpWNq5F,spotify:track:6W3lwoUqT9FzP3FhpWNq5F,https://api.spotify.com/v1/tracks/6W3lwoUqT9FzP3FhpWNq5F,https://api.spotify.com/v1/audio-analysis/6W3lwoUqT9FzP3FhpWNq5F,65455,4,"Chrissy, Wake Up",1EQWKaOzUPSQv9kKqrTMzK
London Boy___Taylor Swift,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,audio_features,1LLXZFeAHK9R4xUramtUKw,spotify:track:1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/tracks/1LLXZFeAHK9R4xUramtUKw,https://api.spotify.com/v1/audio-analysis/1LLXZFeAHK9R4xUramtUKw,190240,4,Lover,1NAmidJlEaVgA3MpcPFYGq
Keep It to Myself___Ellise,,,,,,,,,,,,,,,,,,,,
911___Ellise,0.765,0.53,10,-7.18,0,0.0833,0.509,4.15e-06,0.117,0.529,130.104,audio_features,23KVefoON2iEz1dh940quQ,spotify:track:23KVefoON2iEz1dh940quQ,https://api.spotify.com/v1/tracks/23KVefoON2iEz1dh940quQ,https://api.spotify.com/v1/audio-analysis/23KVefoON2iEz1dh940quQ,188387,4,Chaotic,6nUQsCdTK0xbG6FjyqJUXq
Smoking on my Ex Pack___SZA,,,,,,,,,,,,,,,,,,,,
Never Had a Chance___Katherine Li,0.686,0.565,10,-5.486,1,0.0299,0.635,0.00011,0.125,0.496,110.507,audio_features,5SSN6VUT5PduTBsGbTd2Sd,spotify:track:5SSN6VUT5PduTBsGbTd2Sd,https://api.spotify.com/v1/tracks/5SSN6VUT5PduTBsGbTd2Sd,https://api.spotify.com/v1/audio-analysis/5SSN6VUT5PduTBsGbTd2Sd,145520,4,Never Had a Chance,6xetIkLc35ytsM6poTBsdt
Shouldn't Be___Luke Chiang,0.647,0.294,6,-10.344,0,0.0312,0.728,0,0.123,0.323,124.999,audio_features,7F6PtLP6fJPVtA1FWVkl8K,spotify:track:7F6PtLP6fJPVtA1FWVkl8K,https://api.spotify.com/v1/tracks/7F6PtLP6fJPVtA1FWVkl8K,https://api.spotify.com/v1/audio-analysis/7F6PtLP6fJPVtA1FWVkl8K,210480,3,Shouldn't Be,0GObFfKRxmmY7lAeehFO51
Tune Kaha___Prateek Kuhad,0.362,0.763,3,-8.514,1,0.0589,0.015,0.00481,0.237,0.431,187.291,audio_features,1gWtHDe403RuyZqhvSRcv8,spotify:track:1gWtHDe403RuyZqhvSRcv8,https://api.spotify.com/v1/tracks/1gWtHDe403RuyZqhvSRcv8,https://api.spotify.com/v1/audio-analysis/1gWtHDe403RuyZqhvSRcv8,216886,4,Tune Kaha,1sXF26ED1bQT76rFEvPwaP
Skeleton Key___Hunter Daily,0.556,0.284,2,-9.066,1,0.0312,0.813,0,0.216,0.255,96.593,audio_features,3cUcHmvK9cYmOzJsa6BjXu,spotify:track:3cUcHmvK9cYmOzJsa6BjXu,https://api.spotify.com/v1/tracks/3cUcHmvK9cYmOzJsa6BjXu,https://api.spotify.com/v1/audio-analysis/3cUcHmvK9cYmOzJsa6BjXu,179107,4,Skeleton Key,2M6ggaZ4w9Qnuu7VW5rF3q
Sajun Dhajun___Arati Ankalikar Tikekar,0.47,0.395,10,-9.755,1,0.0645,0.316,8.01e-06,0.277,0.609,109.852,audio_features,4LJht30MMN809JaSP7rale,spotify:track:4LJht30MMN809JaSP7rale,https://api.spotify.com/v1/tracks/4LJht30MMN809JaSP7rale,https://api.spotify.com/v1/audio-analysis/4LJht30MMN809JaSP7rale,278880,4,Samaira (Original Motion Picture Soundtrack),46rsk8ADbQBNZYdTXoWZ9w
Lose You To Love Me___Selena Gomez,0.488,0.343,4,-8.985,1,0.0436,0.556,0,0.21,0.0978,102.819,audio_features,4l0Mvzj72xxOpRrp6h8nHi,spotify:track:4l0Mvzj72xxOpRrp6h8nHi,https://api.spotify.com/v1/tracks/4l0Mvzj72xxOpRrp6h8nHi,https://api.spotify.com/v1/audio-analysis/4l0Mvzj72xxOpRrp6h8nHi,206459,4,Rare,3YPFaTR7WMi1Hd4NVKdCJx
Golden (Nealo Remix)___shiv,0.691,0.631,7,-10.951,1,0.34,0.576,0.000445,0.194,0.642,94.978,audio_features,6bI3rbzWInkPEhDRlWXWPk,spotify:track:6bI3rbzWInkPEhDRlWXWPk,https://api.spotify.com/v1/tracks/6bI3rbzWInkPEhDRlWXWPk,https://api.spotify.com/v1/audio-analysis/6bI3rbzWInkPEhDRlWXWPk,190085,4,Golden (Nealo Remix),2UWJbChOCb8ebKZhQPinL9
Why Do You Love Me___Charlotte Lawrence,0.81,0.305,8,-6.165,0,0.0902,0.28,0.000116,0.203,0.732,120.013,audio_features,2y8iBf0QRqCKFtePi9Rl2H,spotify:track:2y8iBf0QRqCKFtePi9Rl2H,https://api.spotify.com/v1/tracks/2y8iBf0QRqCKFtePi9Rl2H,https://api.spotify.com/v1/audio-analysis/2y8iBf0QRqCKFtePi9Rl2H,171908,4,Why Do You Love Me,3TG1020RW6Fh4jc0ahtXGO
The Tide___Niall Horan,0.564,0.834,7,-5.277,1,0.0394,0.00074,0,0.0808,0.639,135.005,audio_features,2wulDoMWELRDOBbTkVoDH3,spotify:track:2wulDoMWELRDOBbTkVoDH3,https://api.spotify.com/v1/tracks/2wulDoMWELRDOBbTkVoDH3,https://api.spotify.com/v1/audio-analysis/2wulDoMWELRDOBbTkVoDH3,200627,4,Flicker (Deluxe),7ahctQBwcSxDdP0fRAPo2p
