,name,endTime,artistName,trackName,msPlayed,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,albumName,albumID
3086,Coffee Breath___Sofia Mills,2022-10-08 08:34,Sofia Mills,Coffee Breath,54498,2022-10-08 08:34:00,0.866,0.211,11,-12.676,0,0.0404,0.974,0.0,0.0987,0.198,101.295,audio_features,28TkNtKHx6UnOZuoyv3Jzv,spotify:track:28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/tracks/28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/audio-analysis/28TkNtKHx6UnOZuoyv3Jzv,163902,4,Coffee Breath,6PLQWrmCo4IDIbfaIP2hAE
3087,Coffee Breath___Sofia Mills,2022-10-08 08:35,Sofia Mills,Coffee Breath,108219,2022-10-08 08:35:00,0.866,0.211,11,-12.676,0,0.0404,0.974,0.0,0.0987,0.198,101.295,audio_features,28TkNtKHx6UnOZuoyv3Jzv,spotify:track:28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/tracks/28TkNtKHx6UnOZuoyv3Jzv,https://api.spotify.com/v1/audio-analysis/28TkNtKHx6UnOZuoyv3Jzv,163902,4,Coffee Breath,6PLQWrmCo4IDIbfaIP2hAE
3088,Tired___beabadoobee,2022-10-08 08:39,beabadoobee,Tired,199508,2022-10-08 08:39:00,0.63,0.418,7,-7.111,0,0.0254,0.483,0.15,0.111,0.345,140.037,audio_features,6F5mZpEEjhsAW8UEqbIpz1,spotify:track:6F5mZpEEjhsAW8UEqbIpz1,https://api.spotify.com/v1/tracks/6F5mZpEEjhsAW8UEqbIpz1,https://api.spotify.com/v1/audio-analysis/6F5mZpEEjhsAW8UEqbIpz1,199515,4,Patched Up,7zPBy6Rjmijd4p8drmQPu7
3089,suicide___Isaac Dunbar,2022-10-08 08:43,Isaac Dunbar,suicide,256790,2022-10-08 08:43:00,0.593,0.479,2,-9.31,1,0.0335,0.769,0.609,0.142,0.256,97.017,audio_features,0AXgLaqOI5w3uLXh4YOsIJ,spotify:track:0AXgLaqOI5w3uLXh4YOsIJ,https://api.spotify.com/v1/tracks/0AXgLaqOI5w3uLXh4YOsIJ,https://api.spotify.com/v1/audio-analysis/0AXgLaqOI5w3uLXh4YOsIJ,257000,4,isaac's insects,2HbOTgPrZbFDx84oPQ0RlO
3090,Silly Girl___chloe moriondo,2022-10-08 08:43,chloe moriondo,Silly Girl,121475,2022-10-08 08:43:00,0.479,0.0436,0,-22.849,1,0.0639,0.944,9.42e-05,0.126,0.133,79.141,audio_features,0ZP3E9L1I0C6rmD0CAKqDc,spotify:track:0ZP3E9L1I0C6rmD0CAKqDc,https://api.spotify.com/v1/tracks/0ZP3E9L1I0C6rmD0CAKqDc,https://api.spotify.com/v1/audio-analysis/0ZP3E9L1I0C6rmD0CAKqDc,198808,1,Rabbit Hearted.,2DQwYn02bAofAeBPzLohdz
3091,Orange Hoodie___Angus Maude,2022-10-08 08:46,Angus Maude,Orange Hoodie,179400,2022-10-08 08:46:00,0.721,0.149,3,-9.041,1,0.041,0.848,0.0,0.0977,0.306,109.794,audio_features,7zznnb4017w7BwU5tMiBi9,spotify:track:7zznnb4017w7BwU5tMiBi9,https://api.spotify.com/v1/tracks/7zznnb4017w7BwU5tMiBi9,https://api.spotify.com/v1/audio-analysis/7zznnb4017w7BwU5tMiBi9,179427,4,Orange Hoodie,7kjDSALwRw5EjnkNzTyc5t
3092,Ripples___Maximillian,2022-10-08 09:37,Maximillian,Ripples,53931,2022-10-08 09:37:00,0.682,0.346,0,-9.475,1,0.0781,0.682,0.0,0.278,0.452,129.681,audio_features,41EwTNHRnFdK7XUI4qinEQ,spotify:track:41EwTNHRnFdK7XUI4qinEQ,https://api.spotify.com/v1/tracks/41EwTNHRnFdK7XUI4qinEQ,https://api.spotify.com/v1/audio-analysis/41EwTNHRnFdK7XUI4qinEQ,195404,4,Still Alive (Deluxe Edition),1mTP6AfzT0v0eaihtcXOxe
3093,change ur mind___Sarcastic Sounds,2022-10-08 10:24,Sarcastic Sounds,change ur mind,2484,2022-10-08 10:24:00,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546,audio_features,58Mh6zmqSo9IvysPAXnG0h,spotify:track:58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/tracks/58Mh6zmqSo9IvysPAXnG0h,https://api.spotify.com/v1/audio-analysis/58Mh6zmqSo9IvysPAXnG0h,183451,4,change ur mind,5Sq4GMxxUnYNkcXZEORRQh
3094,Funny How___Maximillian,2022-10-08 10:24,Maximillian,Funny How,103267,2022-10-08 10:24:00,0.405,0.267,8,-12.504,0,0.0397,0.922,6.37e-06,0.131,0.49,125.669,audio_features,35IP1DlT3TGVPxef4U6R0z,spotify:track:35IP1DlT3TGVPxef4U6R0z,https://api.spotify.com/v1/tracks/35IP1DlT3TGVPxef4U6R0z,https://api.spotify.com/v1/audio-analysis/35IP1DlT3TGVPxef4U6R0z,114566,4,Still Alive (Deluxe Edition),1mTP6AfzT0v0eaihtcXOxe
3095,Ripples___Maximillian,2022-10-08 10:28,Maximillian,Ripples,195404,2022-10-08 10:28:00,0.682,0.346,0,-9.475,1,0.0781,0.682,0.0,0.278,0.452,129.681,audio_features,41EwTNHRnFdK7XUI4qinEQ,spotify:track:41EwTNHRnFdK7XUI4qinEQ,https://api.spotify.com/v1/tracks/41EwTNHRnFdK7XUI4qinEQ,https://api.spotify.com/v1/audio-analysis/41EwTNHRnFdK7XUI4qinEQ,195404,4,Still Alive (Deluxe Edition),1mTP6AfzT0v0eaihtcXOxe
3096,Beautiful Scars - Acoustic / Bonus Track___Maximillian,2022-10-08 10:30,Maximillian,Beautiful Scars - Acoustic / Bonus Track,158069,2022-10-08 10:30:00,0.803,0.309,6,-8.325,1,0.0401,0.855,0.0,0.105,0.733,132.826,audio_features,0Ocfpe2DnofuAd0nh80xwj,spotify:track:0Ocfpe2DnofuAd0nh80xwj,https://api.spotify.com/v1/tracks/0Ocfpe2DnofuAd0nh80xwj,https://api.spotify.com/v1/audio-analysis/0Ocfpe2DnofuAd0nh80xwj,158070,4,Still Alive (Deluxe Edition),1mTP6AfzT0v0eaihtcXOxe
3097,I Know Better___Maximillian,2022-10-08 10:33,Maximillian,I Know Better,178069,2022-10-08 10:33:00,0.741,0.417,8,-8.732,1,0.0325,0.772,0.0,0.101,0.377,113.96,audio_features,0jFJFli5qiHEFtEYPDWSip,spotify:track:0jFJFli5qiHEFtEYPDWSip,https://api.spotify.com/v1/tracks/0jFJFli5qiHEFtEYPDWSip,https://api.spotify.com/v1/audio-analysis/0jFJFli5qiHEFtEYPDWSip,178069,4,Still Alive (Deluxe Edition),1mTP6AfzT0v0eaihtcXOxe
